Freq.	V(n001)	V(n002)
1.44543977074594e+005	(2.15836247000871e+001dB,1.36625312126817e-005°)	(4.91292674261091e+001dB,8.87189312246896e+001°)
1.51356124843623e+005	(2.15836247001062e+001dB,1.30476618505830e-005°)	(4.87290560484515e+001dB,8.86580282690059e+001°)
1.58489319246113e+005	(2.15836247001237e+001dB,1.24604683215145e-005°)	(4.83288242885184e+001dB,8.85942830335912e+001°)
1.65958690743758e+005	(2.15836247001397e+001dB,1.18997051088326e-005°)	(4.79285701823223e+001dB,8.85275609313267e+001°)
1.73780082874940e+005	(2.15836247001543e+001dB,1.13641827579951e-005°)	(4.75282915768706e+001dB,8.84577211532458e+001°)
1.81970085861001e+005	(2.15836247001676e+001dB,1.08527653535570e-005°)	(4.71279861120288e+001dB,8.83846163835303e+001°)
1.90546071796327e+005	(2.15836247001798e+001dB,1.03643681097276e-005°)	(4.67276512006539e+001dB,8.83080925027219e+001°)
1.99526231496890e+005	(2.15836247001910e+001dB,9.89795506937760e-006°)	(4.63272840068341e+001dB,8.82279882788165e+001°)
2.08929613085407e+005	(2.15836247002013e+001dB,9.45253690661386e-006°)	(4.59268814220574e+001dB,8.81441350459260e+001°)
2.18776162394958e+005	(2.15836247002107e+001dB,9.02716882826223e-006°)	(4.55264400391159e+001dB,8.80563563702163e+001°)
2.29086765276780e+005	(2.15836247002194e+001dB,8.62094856980539e-006°)	(4.51259561235324e+001dB,8.79644677028596e+001°)
2.39883291901952e+005	(2.15836247002273e+001dB,8.23301448152496e-006°)	(4.47254255822805e+001dB,8.78682760197763e+001°)
2.51188643150961e+005	(2.15836247002347e+001dB,7.86254370078745e-006°)	(4.43248439295446e+001dB,8.77675794479904e+001°)
2.63026799189542e+005	(2.15836247002414e+001dB,7.50875040659660e-006°)	(4.39242062492491e+001dB,8.76621668784754e+001°)
2.75422870333820e+005	(2.15836247002477e+001dB,7.17088415270888e-006°)	(4.35235071540567e+001dB,8.75518175654407e+001°)
2.88403150312664e+005	(2.15836247002535e+001dB,6.84822827577548e-006°)	(4.31227407405133e+001dB,8.74363007120876e+001°)
3.01995172040206e+005	(2.15836247002589e+001dB,6.54009837513312e-006°)	(4.27219005399884e+001dB,8.73153750429639e+001°)
3.16227766016842e+005	(2.15836247002640e+001dB,6.24584086101799e-006°)	(4.23209794650303e+001dB,8.71887883631631e+001°)
3.31131121482595e+005	(2.15836247002687e+001dB,5.96483156812166e-006°)	(4.19199697507220e+001dB,8.70562771047503e+001°)
3.46736850452536e+005	(2.15836247002732e+001dB,5.69647443154664e-006°)	(4.15188628905919e+001dB,8.69175658609603e+001°)
3.63078054770106e+005	(2.15836247002774e+001dB,5.44020022235121e-006°)	(4.11176495665960e+001dB,8.67723669089004e+001°)
3.80189396320566e+005	(2.15836247002814e+001dB,5.19546533999909e-006°)	(4.07163195726509e+001dB,8.66203797217118e+001°)
3.98107170553503e+005	(2.15836247002853e+001dB,4.96175065915027e-006°)	(4.03148617311555e+001dB,8.64612904713998e+001°)
4.16869383470341e+005	(2.15836247002890e+001dB,4.73856042834406e-006°)	(3.99132638018978e+001dB,8.62947715238371e+001°)
4.36515832240172e+005	(2.15836247002927e+001dB,4.52542121823495e-006°)	(3.95115123827008e+001dB,8.61204809277891e+001°)
4.57088189614881e+005	(2.15836247002962e+001dB,4.32188091714693e-006°)	(3.91095928011127e+001dB,8.59380619002027e+001°)
4.78630092322645e+005	(2.15836247002997e+001dB,4.12750777181151e-006°)	(3.87074889964035e+001dB,8.57471423104516e+001°)
5.01187233627279e+005	(2.15836247003032e+001dB,3.94188947125001e-006°)	(3.83051833910820e+001dB,8.55473341667530e+001°)
5.24807460249780e+005	(2.15836247003068e+001dB,3.76463227185188e-006°)	(3.79026567510984e+001dB,8.53382331085568e+001°)
5.49540873857632e+005	(2.15836247003103e+001dB,3.59536016178705e-006°)	(3.74998880338560e+001dB,8.51194179093881e+001°)
5.75439937337165e+005	(2.15836247003140e+001dB,3.43371406297366e-006°)	(3.70968542231074e+001dB,8.48904499953876e+001°)
6.02559586074366e+005	(2.15836247003177e+001dB,3.27935106890061e-006°)	(3.66935301497722e+001dB,8.46508729856614e+001°)
6.30957344480202e+005	(2.15836247003216e+001dB,3.13194371668038e-006°)	(3.62898882976784e+001dB,8.44002122615342e+001°)
6.60693448007605e+005	(2.15836247003256e+001dB,2.99117929177852e-006°)	(3.58858985932000e+001dB,8.41379745728999e+001°)
6.91830970918946e+005	(2.15836247003299e+001dB,2.85675916393496e-006°)	(3.54815281777467e+001dB,8.38636476911045e+001°)
7.24435960075000e+005	(2.15836247003344e+001dB,2.72839815285714e-006°)	(3.50767411620539e+001dB,8.35767001191748e+001°)
7.58577575029195e+005	(2.15836247003391e+001dB,2.60582392232711e-006°)	(3.46714983612336e+001dB,8.32765808717456e+001°)
7.94328234724293e+005	(2.15836247003442e+001dB,2.48877640142369e-006°)	(3.42657570095774e+001dB,8.29627193387437e+001°)
8.31763771102683e+005	(2.15836247003496e+001dB,2.37700723161722e-006°)	(3.38594704541595e+001dB,8.26345252487561e+001°)
8.70963589956093e+005	(2.15836247003554e+001dB,2.27027923854800e-006°)	(3.34525878263772e+001dB,8.22913887500719e+001°)
9.12010839355923e+005	(2.15836247003617e+001dB,2.16836592735080e-006°)	(3.30450536906916e+001dB,8.19326806296119e+001°)
9.54992586021450e+005	(2.15836247003684e+001dB,2.07105100043663e-006°)	(3.26368076700078e+001dB,8.15577526923767e+001°)
1.00000000000001e+006	(2.15836247003756e+001dB,1.97812789668967e-006°)	(3.22277840473579e+001dB,8.11659383266130e+001°)
1.04712854805092e+006	(2.15836247003835e+001dB,1.88939935108221e-006°)	(3.18179113438492e+001dB,8.07565532826233e+001°)
1.09647819614320e+006	(2.15836247003920e+001dB,1.80467697375326e-006°)	(3.14071118732052e+001dB,8.03288966959810e+001°)
1.14815362149690e+006	(2.15836247004012e+001dB,1.72378084763801e-006°)	(3.09953012736889e+001dB,7.98822523888226e+001°)
1.20226443461743e+006	(2.15836247004111e+001dB,1.64653914377570e-006°)	(3.05823880187572e+001dB,7.94158904858132e+001°)
1.25892541179419e+006	(2.15836247004219e+001dB,1.57278775346231e-006°)	(3.01682729084699e+001dB,7.89290693842298e+001°)
1.31825673855643e+006	(2.15836247004337e+001dB,1.50236993645337e-006°)	(2.97528485444807e+001dB,7.84210381202799e+001°)
1.38038426460291e+006	(2.15836247004464e+001dB,1.43513598445991e-006°)	(2.93359987923862e+001dB,7.78910391761307e+001°)
1.44543977074595e+006	(2.15836247004602e+001dB,1.37094289921903e-006°)	(2.89175982363059e+001dB,7.73383117739980e+001°)
1.51356124843623e+006	(2.15836247004751e+001dB,1.30965408445887e-006°)	(2.84975116318369e+001dB,7.67620957048249e+001°)
1.58489319246114e+006	(2.15836247004913e+001dB,1.25113905111731e-006°)	(2.80755933649603e+001dB,7.61616357393249e+001°)
1.65958690743759e+006	(2.15836247005089e+001dB,1.19527313521427e-006°)	(2.76516869260863e+001dB,7.55361866681721e+001°)
1.73780082874940e+006	(2.15836247005278e+001dB,1.14193722781983e-006°)	(2.72256244102022e+001dB,7.48850190155756e+001°)
